Configuration,Model,RMSE,MAE,MAPE,MSE,Random Seed,Deterministic Training
technical,LSTM,11.01161796556301,8.82152017313493,2.0996681667824473,121.25573021951004,42,True
technical,GRU,10.95840422044592,8.836855493465963,2.10166841728709,120.08662305868698,42,True
technical,Transformer,10.893424689398675,8.75358823280337,2.0811997254982777,118.6667014636006,42,True
technical,XGBoost,12.556664973454055,10.019588999568969,2.373337265013673,157.66983525556793,42,True
sentiment,LSTM,12.746117318008949,10.304332279985887,2.444897932410318,162.46350668444765,42,True
sentiment,GRU,14.58566484361526,11.97146613769118,2.8447789704368205,212.7416189302742,42,True
sentiment,Transformer,10.85940696419162,8.765998639522596,2.084225056215433,117.92671961393347,42,True
sentiment,XGBoost,15.140688705301878,12.374238421768668,2.9429410614081775,229.24045447085584,42,True
technical_sentiment,LSTM,10.913689654211616,8.852618500453861,2.1011147707075333,119.10862186844565,42,True
technical_sentiment,GRU,11.036579888357393,8.935596195870607,2.1218755844168102,121.8060956320949,42,True
technical_sentiment,Transformer,11.014863304011795,8.921144058106735,2.1182446040810787,121.32721360606565,42,True
technical_sentiment,XGBoost,13.011518733670673,10.48256648114205,2.4813671569411904,169.29961975666288,42,True
