rank,feature,stream,modality,mean_abs_shap
1,sentiment_positive,sentiment,sentiment,0.00019981404901470994
2,sentiment_negative,sentiment,sentiment,0.00012204640239076274
3,sentiment_compound,sentiment,sentiment,0.00012111542400394107
4,news_count,sentiment,sentiment,0.00011979926294031157
5,sentiment_compound_lag3,sentiment,sentiment,0.00011918437868220428
6,high,time_series,price,0.0001134769513282975
7,open,time_series,price,0.00011297665927768409
8,SMA_50,time_series,technical,0.0001112520896159989
9,sentiment_compound_lag1,sentiment,sentiment,8.896598993350984e-05
10,close,time_series,price,6.953630741457118e-05
11,volume,time_series,price,6.41237271828494e-05
12,sentiment_compound_lag2,sentiment,sentiment,4.448975583265267e-05
13,low,time_series,price,4.178399101337564e-05
14,BB_Upper,time_series,technical,4.057637411215755e-05
15,BB_Lower,time_series,technical,3.979561496606381e-05
16,BB_Middle,time_series,technical,3.136341586688121e-05
17,SMA_20,time_series,technical,3.0332881968170656e-05
18,RSI_14,time_series,technical,2.9881861852290904e-05
19,sentiment_neutral,sentiment,sentiment,4.308482728187389e-21
